Subj ID,Session,Run,Target,TR Condition,Word Class,Accuracy,RT,WordFreq,WordFreq,,RT-Rev,Actual response
TPL,1,1,Tree,CORR,OBJ,1,1.021979,3315,59,,1.021979,
TPL,1,1,Ear,CORR,OBJ,1,1.133107,1632,29,,1.133107,
TPL,1,1,Dog,CORR,OBJ,1,1.018346,9835,75,,1.018346,
TPL,1,1,Nose,CORR,OBJ,1,1.129474,3557,60,,1.129474,
TPL,1,1,drawing,TR,ACT,1,1.50796,817,222,,1.50796,
TPL,1,1,painting,TR,ACT,1,1.198111,1489,95,,1.198111,
TPL,1,1,shaving,TR,ACT,1,1.155223,298,23,,1.155223,
TPL,1,1,smoking,TR,ACT,1,1.081532,1334,26,,1.081532,
TPL,1,1,pouring,TR,ACT,1,1.069448,302,48,,1.069448,
TPL,1,1,(pass),(control),(control),NA,1.32472,NA,NA,,1.32472,
TPL,1,1,(pass),(control),(control),NA,0.963533,NA,NA,,0.963533,
TPL,1,1,(pass),(control),(control),NA,0.982252,NA,NA,,0.982252,
TPL,1,1,(pass),(control),(control),NA,1.011238,NA,NA,,1.011238,
TPL,1,1,(pass),(control),(control),NA,1.235312,NA,NA,,1.235312,
TPL,1,1,Alligator,UNTR,OBJ,1,1.521388,178,4,,1.521388,
TPL,1,1,Pumpkin,UNTR,OBJ,1,1.129397,553,2,,1.129397,
TPL,1,1,Spider,UNTR,OBJ,1,0.983832,515,2,,0.983832,
TPL,1,1,Orange,UNTR,OBJ,1,1.207906,1138,23,,1.207906,
TPL,1,1,Raccoon,UNTR,OBJ,1,1.24716,73,1,,1.24716,
TPL,1,1,watering,UNTR,ACT,1,1.553771,109,12,,1.553771,
TPL,1,1,knitting,UNTR,ACT,1,1.202851,115,18,,1.202851,
TPL,1,1,lighting,UNTR,ACT,1,1.745226,323,72,,1.745226,
TPL,1,1,catching,UNTR,ACT,1,1.907693,648,146,,1.907693,
TPL,1,1,shooting,UNTR,ACT,1,1.669718,2871,117,,1.669718,
TPL,1,1,Giraffe,TR,OBJ,1,1.031696,76,0,,1.031696,
TPL,1,1,Pepper,TR,OBJ,1,1.512464,449,13,,1.512464,
TPL,1,1,Beetle,TR,OBJ,0,1.449041,105,0,,NA,roach
TPL,1,1,Lemon,TR,OBJ,1,1.354815,613,18,,1.354815,
TPL,1,1,Skunk,TR,OBJ,1,1.086037,166,0,,1.086037,
TPL,1,2,(pass),(control),(control),NA,1.117563,NA,NA,,1.117563,
TPL,1,2,(pass),(control),(control),NA,0.843081,NA,NA,,0.843081,
TPL,1,2,(pass),(control),(control),NA,0.744142,NA,NA,,0.744142,
TPL,1,2,(pass),(control),(control),NA,0.691398,NA,NA,,0.691398,
TPL,1,2,(pass),(control),(control),NA,0.943543,NA,NA,,0.943543,
TPL,1,2,planting,UNTR,ACT,1,0.935319,108,18,,0.935319,
TPL,1,2,dropping,UNTR,ACT,1,1.178224,826,159,,1.178224,
TPL,1,2,tying,UNTR,ACT,1,0.83907,158,50,,0.83907,
TPL,1,2,peeling,UNTR,ACT,1,1.072736,56,14,,1.072736,
TPL,1,2,touching,UNTR,ACT,0,1.056949,888,91,,NA,pointing
TPL,1,2,Eye,CORR,OBJ,1,0.780792,5701,122,,0.780792,
TPL,1,2,Hand,CORR,OBJ,1,0.765004,14262,431,,0.765004,
TPL,1,2,Fork,CORR,OBJ,1,0.629109,450,14,,0.629109,
TPL,1,2,Pen,CORR,OBJ,1,0.696473,1261,18,,0.696473,
TPL,1,2,Book,CORR,OBJ,1,0.745358,9026,193,,0.745358,
TPL,1,2,bouncing,TR,ACT,1,0.718656,217,28,,0.718656,
TPL,1,2,praying,TR,ACT,1,0.712107,520,30,,0.712107,
TPL,1,2,knocking,TR,ACT,1,0.742515,759,47,,0.742515,
TPL,1,2,pushing,TR,ACT,1,0.615858,978,102,,0.615858,
TPL,1,2,stopping,TR,ACT,1,0.904959,1066,240,,0.904959,
TPL,1,2,(pass),(control),(control),NA,1.284775,NA,NA,,1.284775,
TPL,1,2,(pass),(control),(control),NA,0.751601,NA,NA,,0.751601,
TPL,1,2,(pass),(control),(control),NA,0.652661,NA,NA,,0.652661,
TPL,1,2,(pass),(control),(control),NA,0.710786,NA,NA,,0.710786,
TPL,1,2,(pass),(control),(control),NA,0.722715,NA,NA,,0.722715,
TPL,1,2,Barn,TR,OBJ,1,0.806882,693,29,,0.806882,
TPL,1,2,Glasses,TR,OBJ,1,0.707942,1689,29,,0.707942,
TPL,1,2,Pitcher,TR,OBJ,1,0.83074,165,21,,0.83074,
TPL,1,2,Wheel,TR,OBJ,1,1.101363,1380,56,,1.101363,
TPL,1,2,Suitcase,TR,OBJ,1,0.84536,683,20,,0.84536,
TPL,1,2,carrying,CORR,ACT,0,1.114307,1451,304,,NA,lifting
TPL,1,2,walking,CORR,ACT,1,1.394169,3826,287,,1.394169,
TPL,1,2,mailing,CORR,ACT,1,1.036537,53,13,,1.036537,
TPL,1,2,sleeping,CORR,ACT,1,0.808251,3027,97,,0.808251,
TPL,1,2,kissing,CORR,ACT,1,0.635399,1189,31,,0.635399,
TPL,1,2,Windmill,UNTR,OBJ,1,0.950542,65,1,,0.950542,
TPL,1,2,Sweater,UNTR,OBJ,1,0.953232,704,14,,0.953232,
TPL,1,2,Bottle,UNTR,OBJ,1,0.983639,2588,76,,0.983639,
TPL,1,2,Basket,UNTR,OBJ,1,0.912417,672,17,,0.912417,
TPL,1,2,Iron,UNTR,OBJ,1,0.656414,915,43,,0.656414,
TPL,1,2,(pass),(control),(control),NA,1.322641,NA,NA,,1.322641,
TPL,1,2,(pass),(control),(control),NA,1.020442,NA,NA,,1.020442,
TPL,1,2,(pass),(control),(control),NA,1.198675,NA,NA,,1.198675,
TPL,1,2,(pass),(control),(control),NA,1.016584,NA,NA,,1.016584,
TPL,1,2,(pass),(control),(control),NA,1.102426,NA,NA,,1.102426,
TPL,1,2,running,CORR,ACT,1,0.909421,8054,431,,0.909421,
TPL,1,2,driving,CORR,ACT,1,0.847438,3780,203,,0.847438,
TPL,1,2,sneezing,CORR,ACT,1,0.702303,56,3,,0.702303,
TPL,1,2,dreaming,CORR,ACT,0,0.945209,939,45,,NA,sleeping
TPL,1,2,watching,CORR,ACT,1,1.317461,5081,209,,1.317461,
TPL,1,2,Zebra,UNTR,OBJ,1,1.0875,128,1,,1.0875,
TPL,1,2,Artichoke,UNTR,OBJ,0,1.940182,28,0,,NA,avocado
TPL,1,2,Penguin,UNTR,OBJ,1,1.231466,147,0,,1.231466,
TPL,1,2,Pineapple,UNTR,OBJ,1,1.058615,130,9,,1.058615,
TPL,1,2,Swan,UNTR,OBJ,1,0.774894,348,3,,0.774894,
TPL,1,2,ironing,TR,ACT,1,0.757431,75,8,,0.757431,
TPL,1,2,drilling,TR,ACT,1,0.954142,117,30,,0.954142,
TPL,1,2,writing,TR,ACT,1,1.104657,2852,561,,1.104657,
TPL,1,2,combing,TR,ACT,1,0.876371,59,5,,0.876371,
TPL,1,2,raking,TR,ACT,1,0.832866,27,6,,0.832866,
TPL,1,2,(pass),(control),(control),NA,0.981376,NA,NA,,0.981376,
TPL,1,2,(pass),(control),(control),NA,0.564596,NA,NA,,0.564596,
TPL,1,2,(pass),(control),(control),NA,0.9431,NA,NA,,0.9431,
TPL,1,2,(pass),(control),(control),NA,0.741104,NA,NA,,0.741104,
TPL,1,2,(pass),(control),(control),NA,1.044143,NA,NA,,1.044143,
TPL,1,2,Rhinoceros,TR,OBJ,1,0.938927,106,3,,0.938927,
TPL,1,2,Strawberry,TR,OBJ,1,0.922692,282,0,,0.922692,
TPL,1,2,Ostrich,TR,OBJ,1,0.871626,48,0,,0.871626,
TPL,1,2,Donkey,TR,OBJ,1,0.884415,273,1,,0.884415,
TPL,1,2,Asparagus,TR,OBJ,1,0.711444,50,1,,0.711444,
TPL,1,2,digging,UNTR,ACT,1,0.774574,676,32,,0.774574,
TPL,1,2,cooking,UNTR,ACT,1,0.845413,1307,50,,0.845413,
TPL,1,2,stirring,UNTR,ACT,1,0.887227,133,39,,0.887227,
TPL,1,2,cutting,UNTR,ACT,1,0.952261,1126,245,,0.952261,
TPL,1,2,ringing,UNTR,ACT,1,0.982465,899,39,,0.982465,
TPL,1,2,Bed,CORR,OBJ,1,0.964324,9543,127,,0.964324,
TPL,1,2,Door,CORR,OBJ,1,0.623009,14895,312,,0.623009,
